"Costs for inland shipping","Costs for inland shipping"
"Costs for shipping to foreign countries","Costs for shipping to foreign countries"
"Custom text for checkout page","Custom text for checkout page"
"Cash on Delivery","Cash on Delivery"
"Cash on Delivery fee","Cash on Delivery fee"
"You will be charged an extra fee of %s.","You will be charged an extra fee of %s."
"Incl. Tax","Incl. Tax"
"Cash on Delivery fee (Excl.Tax)","Cash on Delivery fee (Excl.Tax)"
"Cash on Delivery fee (Incl.Tax)","Cash on Delivery fee (Incl.Tax)"
"Cash on Delivery fee %s","Cash on Delivery fee %s"
"Refund Cash on Delivery fee","Refund Cash on Delivery fee"
"Cost calculation","Cost calculation"
"Cost calculation base","Cost calculation base"
"Please enter an sales_flat_quote_address attribute code which will be taken as base for the cost calculation.","Please enter an sales_flat_quote_address attribute code which will be taken as base for the cost calculation."
"Refund Cash on Delivery fee","Refund Cash on Delivery fee"
"Enabled","Enabled"
"Display Zero Fee","Display Zero Fee"
"New order status","New order status"
"Sort order","Sort order"
"Shipment to applicable countries","Shipment to applicable countries"
"Shipment to Specific countries","Shipment to Specific countries"
"Minimum Order Total","Minimum Order Total"
"Maximum Order Total","Maximum Order Total"
"Cost calculation","Cost calculation"
"Disallow specific shipping methods","Disallow specific shipping methods"
"Disallowed shipping methods","Disallowed shipping methods"
"Fixed","Fixed"
"Percent","Percent"