"Costs for inland shipping","Maksa par iekšzemes piegādi"
"Costs for shipping to foreign countries","Maksa par piegādi uz ārzemēm"
"Custom text for checkout page","Izvēles teksts apstiprinājuma lapā"
"Cash on Delivery","Skaidra nauda"
"Cash on Delivery fee","COD apkalpošanas maksa"
"You will be charged an extra fee of %s.","Jums tiks piemērota piemaksa %s."
"Incl. Tax","Ar PVN"
"Cash on Delivery fee (Excl.Tax)","COD apkalpošanas maksa (Bez PVN)"
"Cash on Delivery fee (Incl.Tax)","COD apkalpošanas maksa (Ar PVN)"
"Cash on Delivery fee %s","COD apkalpošanas maksa %"
"Refund Cash on Delivery fee","Kompensēt COD piemaksu"
"Cost calculation","Izmaksu aprēķins"
"Cost calculation base","Izmaksu aprēķina bāze"
"Please enter an sales_flat_quote_address attribute code which will be taken as base for the cost calculation.","Lūdzu ievadiet sales_flat_quote_address pazīmes kodu, kas tiks ņemts par pamatu aprēķinam"
"Refund Cash on Delivery fee","Kompensēt COD piemaksu"
"Enabled","Atļauts"
"Display Zero Fee","Parādīt 0 piemaksu"
"New order status","Jauna pasūtījums statuss"
"Sort order","Šķirot pasūtījumus"
"Shipment to applicable countries","Sūtījums uz piemērojamām valstīm"
"Shipment to Specific countries","Sūtījums uz specifiskām valstīm"
"Minimum Order Total","Min. pasūtījuma summa"
"Maximum Order Total","Max. pasūtījuma summa"
"Cost calculation","Izmaksu aprēķins"
"Disallow specific shipping methods","Nerādīt specifiskiem piegādes veidiem"
"Disallowed shipping methods","Neatļautie piegādes veidi"
"Fixed","Fiksēts"
"Percent","Procents"